,Unnamed: 0,NODE_ID,정류소명,X좌표,Y좌표,법정동코드,법정동_구,법정동,academy_cnt,kindergarten_cnt,mart_cnt,restaurant_cnt,school_cnt,university_cnt,subway_cnt,tour_cnt,cafe_cnt,hospital_cnt,culture_cnt,univ_hospital_cnt,public_office_cnt,employee_cnt,alone_ratio,emp_corp_ratio,population_15to64,RIDE_SUM_6_10,ALIGHT_SUM_6_10,노선번호
62,9902,120000158,현대시장,126.94661609999999,37.48726896,1162010100,관악구,봉천동,136,30,3,205,4,0,0,0,44,37,0,0,4,61570,0.25885234176241045,3.828980099502488,170048,125959,51421,8551
63,9765,120000016,난곡입구,126.91594140000001,37.48190587,1162010200,관악구,신림동,42,16,0,271,3,1,0,0,59,42,2,0,3,61140,0.2886633284091919,3.3754761773311985,182596,435736,218799,8552
64,9766,120000017,남서울중학교.성보중고등학교,126.92084150000001,37.48273547,1162010200,관악구,신림동,38,9,0,197,5,1,0,0,46,16,3,0,2,61140,0.2886633284091919,3.3754761773311985,182596,482702,463479,8552
65,9767,120000018,신림사거리.신림역,126.92806259999999,37.4838178,1162010200,관악구,신림동,55,4,1,1005,1,1,2,2,190,84,4,0,4,61140,0.2886633284091919,3.3754761773311985,182596,293209,2083206,8552
66,9850,120000102,신림청소년독서실.신림체육센터,126.914797,37.480922,1162010200,관악구,신림동,51,14,0,242,4,1,0,0,56,39,2,0,1,61140,0.2886633284091919,3.3754761773311985,182596,128320,110163,8552
67,9851,120000103,난곡우체국사거리,126.9156476,37.47705491,1162010200,관악구,신림동,56,12,0,182,6,1,0,0,33,38,1,0,3,61140,0.2886633284091919,3.3754761773311985,182596,198562,88689,8552
68,9852,120000104,신일교회앞,126.916848,37.47534276,1162010200,관악구,신림동,70,14,0,193,4,1,0,1,33,43,0,0,2,61140,0.2886633284091919,3.3754761773311985,182596,309080,39915,8552
69,9853,120000105,세이브마트앞,126.9182055,37.47385703,1162010200,관악구,신림동,60,14,0,217,1,1,0,1,33,45,0,0,5,61140,0.2886633284091919,3.3754761773311985,182596,392938,32540,8552
70,9854,120000106,남강중고등학교입구,126.9195219,37.47225742,1162010200,관악구,신림동,55,16,0,200,2,1,0,1,25,41,0,0,4,61140,0.2886633284091919,3.3754761773311985,182596,489393,36477,8552
71,9855,120000107,우림시장.난곡보건분소,126.92001680000001,37.47039967,1162010200,관악구,신림동,29,14,0,122,3,1,0,1,18,35,0,0,3,61140,0.2886633284091919,3.3754761773311985,182596,814284,51720,8552
72,9856,120000108,난우중학교입구,126.92054080000001,37.46669197,1162010200,관악구,신림동,13,12,0,82,4,1,0,0,11,6,0,0,1,61140,0.2886633284091919,3.3754761773311985,182596,263581,17692,8552
73,9857,120000109,신림복지관앞,126.9196774,37.46528249,1162010200,관악구,신림동,12,10,0,54,4,1,0,1,8,4,0,0,2,61140,0.2886633284091919,3.3754761773311985,182596,158274,8797,8552
74,10021,120000445,호림박물관,126.9186189,37.48236721,1162010200,관악구,신림동,36,12,0,222,6,1,0,0,56,32,3,0,3,61140,0.2886633284091919,3.3754761773311985,182596,267746,150708,8552
75,6026,113000109,광흥창역.서강동주민센터,126.93191429999999,37.54827848,1144011400,마포구,창전동,63,14,3,162,4,0,1,1,47,20,5,0,4,2191,0.18215845290081095,3.9764065335753176,3717,49102,99131,8761
