,NODE_ID,정류소명,X좌표,Y좌표,법정동코드,법정동_구,법정동,academy_cnt,kindergarten_cnt,mart_cnt,restaurant_cnt,school_cnt,university_cnt,subway_cnt,tour_cnt,cafe_cnt,hospital_cnt,culture_cnt,univ_hospital_cnt,public_office_cnt,employee_cnt,alone_ratio,emp_corp_ratio,population_15to64,RIDE_SUM_6_10,ALIGHT_SUM_6_10,Label
11153,122000181,강남역12번출구,127.0298391,37.4988294,1168010100,강남구,역삼동,397,5,1,1227,0,0,2,3,356,409,16,0,2,225357,0.2635548984702652,7.381010087776759,52862,66920,136136,0
11154,122000182,강남역,127.0269679,37.49993485,1168010100,강남구,역삼동,342,8,1,1031,2,0,3,4,327,449,15,0,0,225357,0.2635548984702652,7.381010087776759,52862,157581,85598,0
11155,122000183,신논현역.구교보타워사거리,127.0257902,37.50235998,1168010100,강남구,역삼동,282,6,1,1007,2,0,2,4,312,465,10,0,1,225357,0.2635548984702652,7.381010087776759,52862,267030,95268,0
11156,122000184,강남역.역삼세무서,127.0291478,37.49813573,1168010100,강남구,역삼동,409,5,1,1187,1,0,2,3,318,399,18,0,2,225357,0.2635548984702652,7.381010087776759,52862,263425,303634,0
11157,122000185,역삼역.포스코타워역삼,127.03379,37.49957175,1168010100,강남구,역삼동,265,6,1,921,0,0,1,1,256,153,14,0,3,225357,0.2635548984702652,7.381010087776759,52862,92988,330630,0
11158,122000186,영동중앙교회,127.0379751,37.49815395,1168010100,강남구,역삼동,110,2,1,704,0,0,1,0,225,85,8,0,3,225357,0.2635548984702652,7.381010087776759,52862,67419,216595,0
11159,122000187,역삼럭키아파트.역삼월드메르디앙아파트,127.0387195,37.49183877,1168010100,강남구,역삼동,72,8,1,333,1,0,0,0,89,32,3,0,1,225357,0.2635548984702652,7.381010087776759,52862,169581,157342,0
11160,122000188,역삼초등학교,127.0340024,37.49408367,1168010100,강남구,역삼동,214,4,3,858,1,0,0,0,203,99,6,0,3,225357,0.2635548984702652,7.381010087776759,52862,40028,34246,0
11161,122000189,역삼초등학교,127.0341054,37.49433084,1168010100,강남구,역삼동,210,4,3,856,1,0,0,0,204,91,5,0,3,225357,0.2635548984702652,7.381010087776759,52862,20390,32718,0
11162,122000190,뱅뱅사거리.역삼동,127.0335981,37.49026251,1168010100,강남구,역삼동,106,8,1,498,4,0,0,0,146,57,4,0,2,225357,0.2635548984702652,7.381010087776759,52862,59727,208419,0
