호선명,지하철역,역사명,노선명,시,구,동,법정동코드,산존재여부,X좌표,Y좌표,사용월,"06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원"
1호선,서울역,서울역,1호선,서울,중구,남대문로5가,1114011800,N,126.9725546,37.55715948,202111,12028,40803,36492,93181,61857,196998,48518,131911
1호선,서울역,서울역,1호선,서울,중구,남대문로5가,1114011800,N,126.9725546,37.55715948,202110,11349,38116,32664,81124,54955,162257,43395,110408
1호선,서울역,서울역,1호선,서울,중구,남대문로5가,1114011800,N,126.9725546,37.55715948,202109,10588,32295,30994,71620,49203,147142,37287,95306
1호선,서울역,서울역,1호선,서울,중구,남대문로5가,1114011800,N,126.9725546,37.55715948,202108,10871,31479,31643,73669,49003,149249,36383,94786
1호선,서울역,서울역,1호선,서울,중구,남대문로5가,1114011800,N,126.9725546,37.55715948,202107,11542,33836,34033,80382,52613,163620,38605,102598
1호선,서울역,서울역,1호선,서울,중구,남대문로5가,1114011800,N,126.9725546,37.55715948,202106,12474,37203,37253,91875,59876,187805,44619,118679
1호선,서울역,서울역,1호선,서울,중구,남대문로5가,1114011800,N,126.9725546,37.55715948,202105,11666,35011,33985,82070,54891,165371,42152,111487
1호선,서울역,서울역,1호선,서울,중구,남대문로5가,1114011800,N,126.9725546,37.55715948,202104,11560,33958,36079,87958,57500,181615,41250,118758
1호선,서울역,서울역,1호선,서울,중구,남대문로5가,1114011800,N,126.9725546,37.55715948,202103,11314,32628,35812,85372,56518,181087,41700,117196
1호선,서울역,서울역,1호선,서울,중구,남대문로5가,1114011800,N,126.9725546,37.55715948,202102,8364,25347,26091,66158,42866,140328,33447,92337
1호선,서울역,서울역,1호선,서울,중구,남대문로5가,1114011800,N,126.9725546,37.55715948,202101,8835,24937,27116,66431,43277,145325,31927,91672
1호선,시청,시청,1호선,서울,중구,정동,1114016700,N,126.9769832,37.56543852,202212,3713,21598,7195,61522,9565,191043,11529,93176
1호선,시청,시청,1호선,서울,중구,정동,1114016700,N,126.9769832,37.56543852,202211,3391,23225,7286,68121,9263,195016,11983,101983
1호선,시청,시청,1호선,서울,중구,정동,1114016700,N,126.9769832,37.56543852,202210,3908,26854,7253,62283,9735,175247,12189,94571
1호선,시청,시청,1호선,서울,중구,정동,1114016700,N,126.9769832,37.56543852,202209,3277,22957,6771,63802,8413,186948,9917,85292
1호선,시청,시청,1호선,서울,중구,정동,1114016700,N,126.9769832,37.56543852,202208,3404,23606,6430,65621,8401,181920,10174,80351
1호선,시청,시청,1호선,서울,중구,정동,1114016700,N,126.9769832,37.56543852,202207,3453,24482,6471,67255,8467,184731,9632,80356
1호선,시청,시청,1호선,서울,중구,정동,1114016700,N,126.9769832,37.56543852,202206,3321,23621,6647,62427,8294,179710,9211,80830
1호선,시청,시청,1호선,서울,중구,정동,1114016700,N,126.9769832,37.56543852,202205,3238,23336,6934,65998,8724,185243,9530,82507
1호선,시청,시청,1호선,서울,중구,정동,1114016700,N,126.9769832,37.56543852,202204,2977,19406,6416,60192,8087,172361,8195,75383
1호선,시청,시청,1호선,서울,중구,정동,1114016700,N,126.9769832,37.56543852,202203,2627,17551,5925,54519,7783,152634,7644,65309
1호선,시청,시청,1호선,서울,중구,정동,1114016700,N,126.9769832,37.56543852,202202,2260,15348,5038,46317,6352,133241,6828,59599
1호선,시청,시청,1호선,서울,중구,정동,1114016700,N,126.9769832,37.56543852,202201,2623,17377,5704,52313,7236,155471,7552,70487
1호선,시청,시청,1호선,서울,중구,정동,1114016700,N,126.9769832,37.56543852,202112,2827,19095,6322,56046,7816,168744,8475,78172
1호선,시청,시청,1호선,서울,중구,정동,1114016700,N,126.9769832,37.56543852,202111,2980,19785,6504,57521,8275,173717,8576,83121
1호선,시청,시청,1호선,서울,중구,정동,1114016700,N,126.9769832,37.56543852,202110,2945,19175,6030,51065,7344,144254,8007,68321
1호선,시청,시청,1호선,서울,중구,정동,1114016700,N,126.9769832,37.56543852,202109,2640,17026,5680,50221,6883,136822,7067,62209
1호선,시청,시청,1호선,서울,중구,정동,1114016700,N,126.9769832,37.56543852,202108,2727,17957,5971,53669,6884,141150,7541,60972
1호선,시청,시청,1호선,서울,중구,정동,1114016700,N,126.9769832,37.56543852,202107,2797,19665,6210,57888,7368,152937,7995,66434
1호선,시청,시청,1호선,서울,중구,정동,1114016700,N,126.9769832,37.56543852,202106,2948,21443,6280,62346,7740,167991,8117,72853
1호선,시청,시청,1호선,서울,중구,정동,1114016700,N,126.9769832,37.56543852,202105,2943,20020,5880,53895,7242,143649,7864,66906
1호선,시청,시청,1호선,서울,중구,정동,1114016700,N,126.9769832,37.56543852,202104,2774,19145,6323,61361,7526,163028,7875,72526
1호선,시청,시청,1호선,서울,중구,정동,1114016700,N,126.9769832,37.56543852,202103,2707,18444,6099,60071,7574,162609,7807,73107
1호선,시청,시청,1호선,서울,중구,정동,1114016700,N,126.9769832,37.56543852,202102,2078,13712,4718,45518,5998,125335,6193,59399
1호선,시청,시청,1호선,서울,중구,정동,1114016700,N,126.9769832,37.56543852,202101,2235,14570,4971,47793,6119,131340,6335,62133
1호선,신설동,신설동,1호선,서울,동대문구,신설동,1123010100,N,127.0250937,37.5747188,202212,8716,7826,20270,21977,30116,55144,19563,32225
1호선,신설동,신설동,1호선,서울,동대문구,신설동,1123010100,N,127.0250937,37.5747188,202211,9260,8707,20784,24027,31812,57914,20507,33623
1호선,신설동,신설동,1호선,서울,동대문구,신설동,1123010100,N,127.0250937,37.5747188,202210,9536,8484,20433,23061,29535,54171,19966,32246
1호선,신설동,신설동,1호선,서울,동대문구,신설동,1123010100,N,127.0250937,37.5747188,202209,8739,8233,19746,23809,27978,54693,18339,30140
1호선,신설동,신설동,1호선,서울,동대문구,신설동,1123010100,N,127.0250937,37.5747188,202208,8758,9028,18458,22614,26047,54554,17926,30292
1호선,신설동,신설동,1호선,서울,동대문구,신설동,1123010100,N,127.0250937,37.5747188,202207,9048,10658,18836,23915,26700,57495,18586,32268
1호선,신설동,신설동,1호선,서울,동대문구,신설동,1123010100,N,127.0250937,37.5747188,202206,8568,11348,18684,23149,26419,56781,17655,30981
1호선,신설동,신설동,1호선,서울,동대문구,신설동,1123010100,N,127.0250937,37.5747188,202205,8833,11880,19066,25473,27826,61525,18781,33321
1호선,신설동,신설동,1호선,서울,동대문구,신설동,1123010100,N,127.0250937,37.5747188,202204,8037,10747,17594,23623,25283,58536,17379,31263
1호선,신설동,신설동,1호선,서울,동대문구,신설동,1123010100,N,127.0250937,37.5747188,202203,7452,10201,15754,21456,22655,54975,15146,29557
1호선,신설동,신설동,1호선,서울,동대문구,신설동,1123010100,N,127.0250937,37.5747188,202202,6341,8440,12565,16235,20225,45840,13196,27219
1호선,신설동,신설동,1호선,서울,동대문구,신설동,1123010100,N,127.0250937,37.5747188,202201,7283,9518,14433,17502,23567,52593,15344,30603
1호선,신설동,신설동,1호선,서울,동대문구,신설동,1123010100,N,127.0250937,37.5747188,202112,7731,10318,15891,21124,24588,58444,16025,32087
1호선,신설동,신설동,1호선,서울,동대문구,신설동,1123010100,N,127.0250937,37.5747188,202111,7820,10278,16712,22696,24617,62491,17378,33687
1호선,신설동,신설동,1호선,서울,동대문구,신설동,1123010100,N,127.0250937,37.5747188,202110,7545,9924,15015,22035,22002,55325,16498,30822
1호선,신설동,신설동,1호선,서울,동대문구,신설동,1123010100,N,127.0250937,37.5747188,202109,7049,9896,14872,22624,20324,52812,14637,28636
1호선,신설동,신설동,1호선,서울,동대문구,신설동,1123010100,N,127.0250937,37.5747188,202108,7333,9771,14821,21765,20523,52910,14881,28274
1호선,신설동,신설동,1호선,서울,동대문구,신설동,1123010100,N,127.0250937,37.5747188,202107,7834,10994,15927,23882,22747,59304,15492,31228
1호선,신설동,신설동,1호선,서울,동대문구,신설동,1123010100,N,127.0250937,37.5747188,202106,8131,10929,17021,25745,24583,62999,16472,33400
1호선,신설동,신설동,1호선,서울,동대문구,신설동,1123010100,N,127.0250937,37.5747188,202105,7628,10369,15678,23051,22405,55323,15690,30740
1호선,신설동,신설동,1호선,서울,동대문구,신설동,1123010100,N,127.0250937,37.5747188,202104,7977,10434,17091,25832,24043,63325,15861,33302
1호선,신설동,신설동,1호선,서울,동대문구,신설동,1123010100,N,127.0250937,37.5747188,202103,7826,9755,17350,25202,23710,62892,15735,32839
1호선,신설동,신설동,1호선,서울,동대문구,신설동,1123010100,N,127.0250937,37.5747188,202102,6206,7280,13019,17924,18478,47150,13010,26256
1호선,신설동,신설동,1호선,서울,동대문구,신설동,1123010100,N,127.0250937,37.5747188,202101,6769,7410,13739,18243,19137,48070,12766,28106
1호선,제기동,제기동,1호선,서울,동대문구,제기동,1123010300,N,127.0346906,37.57819673,202212,7665,7650,21505,18216,32488,37105,21781,29170
1호선,제기동,제기동,1호선,서울,동대문구,제기동,1123010300,N,127.0346906,37.57819673,202211,8472,8415,22686,19220,34488,39385,23972,31627
1호선,제기동,제기동,1호선,서울,동대문구,제기동,1123010300,N,127.0346906,37.57819673,202210,8520,9098,21931,19038,32298,37999,24146,33164
1호선,제기동,제기동,1호선,서울,동대문구,제기동,1123010300,N,127.0346906,37.57819673,202209,8041,8734,22161,19704,32523,39210,23542,34174
1호선,제기동,제기동,1호선,서울,동대문구,제기동,1123010300,N,127.0346906,37.57819673,202208,8276,8838,21335,19703,31333,40232,22857,34466
1호선,제기동,제기동,1호선,서울,동대문구,제기동,1123010300,N,127.0346906,37.57819673,202207,8452,9542,21996,20215,32339,41010,23453,34776
1호선,제기동,제기동,1호선,서울,동대문구,제기동,1123010300,N,127.0346906,37.57819673,202206,8551,9419,21610,19135,30791,39898,22427,33322
1호선,제기동,제기동,1호선,서울,동대문구,제기동,1123010300,N,127.0346906,37.57819673,202205,9067,9219,22640,20220,32152,41578,23800,35573
1호선,제기동,제기동,1호선,서울,동대문구,제기동,1123010300,N,127.0346906,37.57819673,202204,8202,7578,21074,18199,29902,38950,21726,32584
1호선,제기동,제기동,1호선,서울,동대문구,제기동,1123010300,N,127.0346906,37.57819673,202203,7173,6868,18827,16302,26394,35824,18764,27655
1호선,제기동,제기동,1호선,서울,동대문구,제기동,1123010300,N,127.0346906,37.57819673,202202,5899,5826,15161,13650,23023,29448,16033,22251
1호선,제기동,제기동,1호선,서울,동대문구,제기동,1123010300,N,127.0346906,37.57819673,202201,6850,7294,17532,16151,27622,34899,19917,27266
1호선,제기동,제기동,1호선,서울,동대문구,제기동,1123010300,N,127.0346906,37.57819673,202112,7568,7955,18773,17301,28912,36554,19792,26844
1호선,제기동,제기동,1호선,서울,동대문구,제기동,1123010300,N,127.0346906,37.57819673,202111,7839,8190,20349,18374,30429,38617,21229,31322
1호선,제기동,제기동,1호선,서울,동대문구,제기동,1123010300,N,127.0346906,37.57819673,202110,7795,8519,19373,18125,27600,36298,20867,32272
1호선,제기동,제기동,1호선,서울,동대문구,제기동,1123010300,N,127.0346906,37.57819673,202109,7763,8695,19116,18098,26900,36546,20970,33648
1호선,제기동,제기동,1호선,서울,동대문구,제기동,1123010300,N,127.0346906,37.57819673,202108,7698,8751,19090,18277,27212,36659,20778,33365
1호선,제기동,제기동,1호선,서울,동대문구,제기동,1123010300,N,127.0346906,37.57819673,202107,8503,9549,20256,19869,29625,40468,22319,35926
