NODE_ID,정류소명,X좌표,Y좌표,법정동코드,법정동_구,법정동,academy_cnt,kindergarten_cnt,mart_cnt,restaurant_cnt,school_cnt,university_cnt,subway_cnt,tour_cnt,cafe_cnt,hospital_cnt,culture_cnt,univ_hospital_cnt,public_office_cnt,employee_cnt,alone_ratio,emp_corp_ratio,population_15to64,RIDE_SUM_6_10,ALIGHT_SUM_6_10
103900187,민자역사후문,127.0383228,37.56351675,1120010500,성동구,마장동,45,3,1,669,3,0,4,3,128,61,2,0,6,12181,0.1703765535151178,3.2939426717144404,16198,1001,11789
103900188,중앙하이츠아파트,127.0389001,37.56525269,1120010500,성동구,마장동,24,8,1,421,5,0,4,2,89,14,2,0,6,12181,0.1703765535151178,3.2939426717144404,16198,9428,3927
103900189,성동노인종합복지관,127.0414403,37.56520977,1120010500,성동구,마장동,18,13,1,237,5,0,2,2,67,10,2,0,3,12181,0.1703765535151178,3.2939426717144404,16198,12445,423
103900190,국민은행,127.0122219,37.54269716,1120011300,성동구,옥수동,63,18,1,122,3,0,1,3,32,28,0,0,2,4700,0.09718327033288623,3.418181818181818,17695,12318,2449
103900191,국민은행,127.0127561,37.5427782,1120011300,성동구,옥수동,66,18,1,136,3,0,1,0,33,31,0,0,2,4700,0.09718327033288623,3.418181818181818,17695,2056,4638
103900192,옥수동주민센터.옥수동성당,127.0136717,37.54323766,1120011300,성동구,옥수동,66,19,1,135,4,0,1,0,32,31,0,0,2,4700,0.09718327033288623,3.418181818181818,17695,2408,5641
103900193,삼성아파트정문,127.0152935,37.54382678,1120011300,성동구,옥수동,73,21,1,142,3,0,3,0,36,34,0,0,2,4700,0.09718327033288623,3.418181818181818,17695,3765,6490
103900194,래미안옥수리버젠아파트,127.0148865,37.54588764,1120011300,성동구,옥수동,65,22,1,153,4,0,1,0,29,35,0,0,2,4700,0.09718327033288623,3.418181818181818,17695,4416,6203
103900195,대현산배수지공원앞,127.0220575,37.55517771,1120010900,성동구,금호동1가,43,22,1,139,7,0,1,1,34,24,1,0,4,2286,0.10422878828950935,2.8790931989924435,10584,182,13935
103900196,금북초등학교입구,127.0236162,37.55565589,1120010900,성동구,금호동1가,66,23,2,150,4,0,1,1,41,43,1,0,4,2286,0.10422878828950935,2.8790931989924435,10584,6089,5610
103900197,텐즈힐아파트101동.115동,127.0293851,37.5669543,1120010200,성동구,하왕십리동,90,21,0,276,3,0,1,1,83,42,1,0,3,5808,0.1410966798173678,3.0313152400835075,16762,1754,2607
103900198,선영약국,127.0307718,37.56677283,1120010300,성동구,홍익동,84,19,1,376,4,0,1,1,81,50,1,0,3,2868,0.14021000617665225,3.6030150753768844,4787,884,1848
103900199,왕십리중앙교회,127.026563,37.57015475,1120010100,성동구,상왕십리동,59,15,1,259,2,0,0,1,77,20,1,0,1,2868,0.14021000617665225,3.6030150753768844,4787,15190,3878
103900200,텐즈힐아파트120동.213동앞,127.0259467,37.56891588,1120010200,성동구,하왕십리동,62,16,1,301,2,0,0,1,73,33,0,0,3,5808,0.1410966798173678,3.0313152400835075,16762,24300,3111
103900201,왕십리도선동주민센터,127.0259157,37.56770843,1120010200,성동구,하왕십리동,68,19,0,336,3,0,1,1,91,63,1,0,4,5808,0.1410966798173678,3.0313152400835075,16762,8615,4492
103900202,숭신초등학교.도선고등학교앞,127.0271676,37.56732969,1120010200,성동구,하왕십리동,77,22,0,310,3,0,1,1,87,56,0,0,2,5808,0.1410966798173678,3.0313152400835075,16762,980,6310
103900203,마장2교사거리,127.0453461,37.56786386,1120010500,성동구,마장동,24,13,0,134,2,0,2,3,24,11,0,0,2,12181,0.1703765535151178,3.2939426717144404,16198,4965,3845
103900204,마장2교사거리,127.0456033,37.56818275,1120010500,성동구,마장동,25,13,0,142,2,0,2,3,23,12,0,0,2,12181,0.1703765535151178,3.2939426717144404,16198,148,2094
103900207,청계장원아파트,127.0448455,37.56934274,1120010500,성동구,마장동,30,14,0,163,4,0,2,3,27,11,0,0,2,12181,0.1703765535151178,3.2939426717144404,16198,42,1313
103900208,청계장원아파트,127.0448228,37.56919137,1120010500,성동구,마장동,28,14,0,162,3,0,2,3,26,11,0,0,2,12181,0.1703765535151178,3.2939426717144404,16198,12166,71
103900209,옥수교회,127.0158952,37.54530457,1120011300,성동구,옥수동,77,18,1,188,2,0,2,0,41,45,0,0,2,4700,0.09718327033288623,3.418181818181818,17695,635,3512
103900210,텐즈힐아파트107동앞,127.0285145,37.56956858,1120010200,성동구,하왕십리동,69,17,0,228,2,0,0,1,60,23,0,0,2,5808,0.1410966798173678,3.0313152400835075,16762,4301,3575
103900211,마장동현대아파트,127.0431705,37.57010389,1120010500,성동구,마장동,25,13,0,152,4,0,2,2,24,11,0,0,2,12181,0.1703765535151178,3.2939426717144404,16198,75679,7309
103900212,응봉동현대아파트,127.030938,37.54986196,1120010800,성동구,응봉동,38,14,0,63,2,0,1,1,20,4,0,0,2,1237,0.07153532608695652,2.278084714548803,10394,17515,6414
