NODE_ID,ARS_ID,정류소명,X좌표,Y좌표,법정동코드,법정동_구,법정동,행정동코드,행정동,academy_cnt,kindergarten_cnt,mart_cnt,restaurant_cnt,school_cnt,subway_cnt,tour_cnt,cafe_cnt,hospital_cnt,culture_cnt,public_office_cnt
122000699,23454,대왕초등학교,127.1066859,37.46511384,1168011100,강남구,세곡동,1168070000,세곡동,18,10,3,43,1,0,0,10,15,0,2
122000701,23538,강남현대힐스테이트에코,127.1049628,37.47501091,1168011200,강남구,자곡동,1168070000,세곡동,14,10,0,60,1,0,0,22,8,3,0
122000702,23530,강남더샵라르고오피스텔,127.1048166,37.47522745,1168011200,강남구,자곡동,1168070000,세곡동,14,10,0,61,1,0,0,21,8,3,0
122000703,23529,도곡한신아파트,127.0414336,37.48654618,1168011800,강남구,도곡동,1168065500,도곡1동,83,10,1,357,3,1,0,78,29,4,2
122000706,23989,영동대교(가상),127.0556204,37.52662455,1168010400,강남구,청담동,1168056500,청담동,25,2,0,149,0,0,0,31,6,6,0
122000707,23988,영동대교(가상),127.0551806,37.52596087,1168010400,강남구,청담동,1168056500,청담동,36,2,0,186,0,0,0,38,9,7,0
122000708,23987,성수대교(가상),127.0345544,37.53309516,1168011000,강남구,압구정동,1168054500,압구정동,12,1,1,14,3,0,0,6,10,0,3
122000709,23986,성수대교(가상),127.0344578,37.53256766,1168011000,강남구,압구정동,1168054500,압구정동,32,1,1,32,3,0,0,13,33,1,3
122000710,23985,동호대교(가상),127.0237344,37.53174245,1168011000,강남구,압구정동,1168051000,신사동,17,0,0,26,0,0,0,5,5,0,0
122000711,23984,동호대교(가상),127.0241642,37.53115265,1168011000,강남구,압구정동,1168051000,신사동,18,0,0,28,0,0,0,5,5,0,0
122000712,23983,한남대교(가상),127.0155275,37.5237076,1165010600,서초구,잠원동,1165054000,잠원동,36,1,0,51,1,0,1,14,5,4,0
122000713,23982,한남대교(가상),127.0160423,37.52311157,1165010600,서초구,잠원동,1165054000,잠원동,45,1,0,99,1,0,1,42,11,5,0
122000714,22789,도심공항(가상),127.0584737,37.50978582,1168010500,강남구,삼성동,1168058000,삼성1동,43,6,0,815,1,1,2,210,92,43,1
122000715,22790,도심공항터미널(가상),127.0590298,37.50869367,1168010500,강남구,삼성동,1168058000,삼성1동,52,6,0,837,2,1,3,217,88,39,1
122000716,23390,글래드라이브강남호텔,127.03634,37.50780517,1168010100,강남구,역삼동,1168064000,역삼1동,51,5,0,481,0,1,0,134,58,6,1
122000717,23320,고속철도수서역,127.1036016,37.48484985,1168011200,강남구,자곡동,1168070000,세곡동,8,4,2,218,0,2,1,50,31,0,3
