,pca1,pca2,pca3,pca4,pca5,pca6,gmm_cluster,index,X좌표,Y좌표,NODE_ID
523,-0.8924274049748103,-0.47446619021780506,-1.326639066501363,-1.077229156227899,0.14988289811293595,0.504678994388216,7,2025,127.05577040000001,37.57605032,105000121
665,0.5403730885631728,-0.9805016597264308,-1.8236172962243142,-0.39917089272139356,-0.09372210679706938,0.326546028173662,7,6916,126.86872,37.549115,115000003
396,-0.3184945940221183,-1.0276565513681508,-2.454635346044284,-1.6468964760887363,-0.6003566563899237,-0.9493406223227967,7,4875,126.9142453,37.61264445,111000062
669,-0.42054802978495137,-1.3290861141470829,-0.9427805498535179,-0.45556249114573566,0.08924822417981074,-0.03111757805533981,7,12028,127.1446716,37.53464259,124000020
670,-1.0330510295662374,-0.6616298199327195,-0.979228530077919,-0.7518465169767943,-0.13659687078349803,0.9442367389822414,7,9478,126.94607420000001,37.50813015,119900103
395,-1.023460258333751,-1.5266769859515386,0.581774321901402,-1.1969212891397967,-0.5186242462692486,-0.5259901433066171,7,9580,126.95159879999999,37.50788294,119900205
672,-1.0072482700839454,-0.6429338017346199,-0.9686892865039043,-0.7420992331423822,-0.14598140606675108,0.9639666278118,7,9523,126.94632539999999,37.50799779999999,119900148
394,-0.6104882829222145,-1.0192885803120884,-0.1314505746610481,-1.633006925409714,-0.2558145663440103,-1.539571512294492,7,5892,126.9248408,37.58149776,112900248
393,-1.3184492126111729,-0.9973258565594963,-0.619322674318932,-0.7597239768301939,0.23502533604519701,0.9711327421924408,7,4932,126.91065890000002,37.60614586,111000124
392,-1.3081607615500803,-1.0650093187517777,-0.6764650125355505,-0.9286182781676187,0.15799689119280394,0.5238062945365874,7,5047,126.9103118,37.60468944,111000277
526,-1.028825167716216,-0.5234200221748408,-1.0492941612244813,-0.9463247666077605,0.3523884257560277,0.36117702794013556,7,2022,127.0536094,37.57485016,105000118
674,-0.4751716190642728,-1.3809740213673571,-0.8336390269499948,-0.4400686556660519,0.10688302519724956,-0.049960010480773205,7,12421,127.14483510000001,37.53434953,124900106
679,-0.2982169705450058,-1.2907071826894794,-1.0860687178327244,-0.8078979023774826,-0.047694753596285965,-0.847622260744302,7,12100,127.14154280000001,37.53217107,124000092
389,-1.302445479008268,-1.0140854799354806,-0.7458022470411755,-0.8006266469534515,0.25426472727914357,0.9140551244665256,7,5062,126.91056299999998,37.605176,111000298
680,-0.3621832264369938,-1.3092226794414363,-0.8480082790585971,-0.2114122910292466,-0.3723731195540453,0.3732432741718584,7,12335,127.13899850000001,37.52818853,124900016
388,-0.7051844889149512,-0.7932205507476314,-1.7216352315060341,-1.5431538901332502,-0.6850367745844239,-0.1589569517572846,7,4905,126.9169034,37.60995121,111000093
387,-1.4386657005177388,-1.9345693567385915,0.1729435409766889,-0.6880929175170717,-0.20511397803607057,-0.05513706914184777,7,4872,126.90788959999999,37.61590672,111000059
681,-1.0878641125744335,-0.746595817152141,-0.6307488060349441,-0.626771908331742,-0.21349618981519108,1.1028914643923595,7,9492,126.9469767,37.50830267,119900117
786,-1.2101879256838233,-0.9829527769694821,-0.410288849644378,-1.4064619616135847,1.1086107944332257,-2.3201618987214525,7,2230,127.06856289999999,37.58245484,105900017
381,-0.8871744064425635,-0.7396416221344609,-0.8891582129058119,-0.3577050939027836,-0.08699101073054456,1.1689519316190484,7,9483,126.94894579999999,37.50357996,119900108
699,0.6101500906561235,-1.3563009585759311,-1.2145271801810789,-0.7192405922511006,-0.5193448441198155,0.1922027282646241,7,7057,126.873324,37.55023509,115000150
698,0.616473535638191,-1.3514363801483924,-1.2240923230652934,-0.7218879319721058,-0.5231834742054091,0.19305486379675163,7,7499,126.87327649999999,37.55023775,115900166
382,-0.7096867942095972,-1.2165345560184575,0.30796321244257463,-0.8423276970716154,0.00757471716665025,0.24434221963055797,7,9377,126.95125130000001,37.50657169,119900002
696,0.703330169298863,-1.2835441314058547,-1.7348881327513141,-1.0877521691328507,-0.5829900810744283,-0.3256660538863736,7,7448,126.87241829999999,37.55039001,115900115
664,-0.029861517568400348,-0.4122885997673237,-0.9590040170554495,-0.8745276523985329,-0.16835602424577065,0.9410470551598734,7,9533,126.94322530000001,37.50748092,119900158
694,0.6626580431324803,-1.307013581983135,-1.4811319984317168,-0.8153207707832428,-0.5599906919790837,0.1820540952824817,7,7058,126.87279450000001,37.55015703,115000151
384,-0.2780873914840544,-0.4089996027968524,-0.8612116171370855,-0.8761213418398907,-0.11080846866528568,0.8147786374410154,7,5468,126.9432629,37.59219017,112000082
692,-0.7147077204055649,-1.4239672275910054,-0.8523053159451545,-0.25783547560943737,0.5818909033980064,-0.19656448409594957,7,12354,127.14508629999999,37.53433571,124900035
385,-0.28433656460223306,-0.4136364245279291,-0.953649612335606,-0.9212733950523834,-0.12074236036577227,0.7914187738759335,7,5876,126.94340559999999,37.592238,112900232
386,-0.673027995791741,-0.7644746466461727,-1.7673708532728993,-1.5535268925991932,-0.6957342508666219,-0.12763522815680342,7,5308,126.91684679999999,37.60988178,111900121
690,-0.3589998761005002,-1.3499554733003116,-0.9039848022392515,-0.7538308579522776,-0.018154907749729304,-0.8725154321866114,7,12099,127.1419783,37.53198828,124000091
682,-1.0975485257990025,-0.7544704846488133,-0.5640431915058257,-0.5972920016336752,-0.20137613147700795,1.1075260262368956,7,9543,126.9471192,37.50835319,119900168
383,-1.2729582155402495,-0.9535569582161386,-0.7707296411064872,-0.8249653906057364,0.193419390718481,0.9738220235040328,7,5065,126.9116689,37.60542575,111000302
663,0.026162708205316604,-0.33137416435513406,-1.0694630196612036,-0.9010278239934659,-0.06741340747889181,0.8432652025962407,7,9474,126.9429719,37.50750243,119900099
390,-1.287011365037227,-1.1131292307256317,-0.8238064690775283,-1.5007437167167919,-0.11320155614092628,-0.7419522268723757,7,5271,126.9129601,37.60740099,111900084
659,-0.19528948858952047,-1.1220319899520153,-1.1301402480473808,-0.26863320663486984,-0.3209006335617491,0.31627247307471507,7,12347,127.13721480000001,37.52848798,124900028
522,-1.0523722267922069,-0.7401751144201836,-0.9368342199931192,-1.4407383958166178,-0.23516099266170962,-0.5426483808925984,7,2010,127.057575,37.576367,105000106
521,-0.9932094282475734,-1.6578635414029388,0.5028343152541018,-1.288433941024969,-0.47869650918171175,-0.4389706113390818,7,9661,126.95180570000001,37.50804792,119900288
639,-0.0817818901853117,-1.0109973482235202,-1.2858897885338871,-0.30798033757744325,-0.3729642778776485,0.3960078669978058,7,12241,127.13645829999999,37.52748053,124000355
640,-0.07900873010054721,-1.0087035997151734,-1.2836329542413685,-0.3026561376735483,-0.37152828954885775,0.3963048230405216,7,12144,127.1365196,37.52758769,124000136
662,-0.2642614709241731,-0.5244588229295611,0.32903992342184135,-0.5987091951386738,-0.09254547681056498,0.5794650383058725,7,9249,126.9356601,37.51303954,119000023
520,-1.0425427221583947,-0.6873712202245349,-0.8983009494589448,-1.2551552935460812,-0.12373229177432767,-0.13502497781210154,7,2011,127.05786289999999,37.57636379,105000107
519,-1.2306366375549331,-2.015729459845337,0.9925820330485776,0.04973305481573741,0.03520914212404505,1.2694438920591038,7,11212,127.1061716,37.47512517,122000320
515,-1.199655583673124,-1.9548988877163644,0.7809843275489335,-0.02476821440582222,0.1354738092155338,1.1287938877967185,7,11210,127.1067202,37.47444024,122000317
513,-1.1420531828323106,-1.8726513975117518,0.7138752450748294,-0.03209226702959183,0.23918379005780216,1.0374037540767833,7,11471,127.10693959999999,37.47216164,122900071
645,1.4832637558094752,-0.24041045961116056,-1.6740589716671432,-0.6202567295479605,-0.708166824685431,0.9383217189924485,7,7286,126.83761090000002,37.55857335,115000893
512,-1.1420531828323106,-1.8726513975117518,0.7138752450748294,-0.03209226702959183,0.23918379005780216,1.0374037540767833,7,11209,127.10725690000001,37.472387299999994,122000316
511,-1.1485349122705244,-1.8777840877878669,0.6775070175263793,-0.0488471847266641,0.23829253089975544,1.0251325166883736,7,11213,127.1069205,37.47222473,122000321
646,0.07258269755618978,-1.133350753940564,-0.8153729335237097,-0.2761216391593683,-0.47130350091526607,0.47797644994593746,7,12146,127.135469,37.52476125,124000138
510,-0.9832263969823615,-2.018279387576971,1.0314926580134967,-0.08326169344330345,-0.01174257297781787,1.2309504187811444,7,11361,127.10481659999999,37.47522745,122000702
493,-1.4378061376203903,-2.5253742296537807,0.7910987077669814,-0.11385583126328988,0.27936437194113944,-0.18513885288272516,7,7539,126.8240687,37.54710826,115900209
643,-0.17825548024825327,-0.27575704364029624,-0.18063725598795172,-0.27480330126484404,0.41346653463471567,0.8409614781843058,7,9251,126.94797700000001,37.513315000000006,119000027
648,0.1479565421470706,-0.9413268544291636,-2.2120830133050537,-1.5374474894610062,-1.0707323045823256,-0.869181639912554,7,7027,126.83762549999999,37.5560386,115000120
397,-0.807040180785175,-0.68148706320158,-1.3051709624549608,-0.5799696903737874,-0.04101223204105454,1.0083108041380844,7,9618,126.9473327,37.50381985,119900244
647,-0.16500676222357458,-1.092056503586937,-1.2300391630777683,-0.30191039829537375,-0.3416516430580627,0.31591621430559935,7,12334,127.13724350000001,37.52870061,124900015
399,-1.463373160381236,-1.8881594177569792,0.15051237812844823,-0.7023629385428092,-0.10014269186320836,-0.14947708360599637,7,5212,126.90719969999999,37.608135499999996,111900025
654,-0.15672959997434985,-0.3635778955620819,0.009864616828822215,-0.697323339412885,0.09780660056300051,0.3561639877351925,7,9525,126.9359804,37.51279371,119900150
415,-0.36912453559583214,-1.2637582265137934,-0.19733621227909395,0.20726252740311932,-0.37206077489367556,0.38975205111646205,7,6496,126.9477584,37.53568922,113900304
416,-0.24919468280407345,-1.5860305341491234,0.030067823169662913,-0.4440198369429115,-0.3351966725747786,-0.6270540968499851,7,6289,126.95091969999999,37.53621232,113900097
398,-0.6872837788663023,-0.7551104502134366,-1.6434562843914176,-1.5145398804815808,-0.5642068173351289,-0.25169176621769573,7,5309,126.9176987,37.61078887,111900122
419,-0.24150371722387656,-1.5135039452134744,-0.6437402340332596,-0.7786280581391861,-0.1738819275380969,-0.9463109126102925,7,6408,126.95316609999999,37.53760632,113900216
651,-0.17779299815340716,-0.46863490266969565,-0.08201954465010294,-1.056841915073493,-0.11408133640608507,-0.47077119395375056,7,9565,126.93595459999999,37.51261889,119900190
443,-0.2590372918014352,-1.0104283839970472,-0.6899498874018445,0.3843016293490549,0.03430915657100431,0.3423949660904495,7,6364,126.9472392,37.53661613,113900172
418,-0.31624147664083146,-1.252201624718608,-0.29857841485080433,0.2050807492704269,-0.3552321204313451,0.3431571218651971,7,6304,126.9479213,37.5357713,113900112
655,-0.26332476126869336,-0.3593078503034383,-0.17495698692520975,-0.456522244465,0.4663995818266285,0.27785895688894463,7,9243,126.949256,37.512825,119000013
426,-0.43732822847485336,-1.125148607843401,-0.6835875845074972,0.25686833989032537,-0.3584625482797869,0.4217403300532644,7,6211,126.94750690000001,37.53616489,113900019
