NODE_ID,정류소명,X좌표,Y좌표,법정동코드,법정동_구,법정동_x,academy_cnt,bank_cnt,kindergarten_cnt,mart_cnt,restaurant_cnt,school_cnt,university_cnt,subway_cnt,tour_cnt,cafe_cnt,hospital_cnt,culture_cnt,univ_hospital_cnt,public_office_cnt,RIDE_SUM_6_10,ALIGHT_SUM_6_10,tot_family,tot_ppltn,corp_cnt,employee_cnt,population_code_15to64,household_cnt_family,household_cnt_alone
100900192,동대문종합시장,127.00614,37.57117606,1111016300,종로구,종로5가,20,72,7,1,706,1,0,3,10,154,76,16,0,6,7641,32225,538,966,1669,5013,744,201,322
100900107,종로5가.3번출구,127.0020898,37.57141925,1111016300,종로구,종로5가,22,65,8,0,665,1,0,1,8,157,61,13,0,6,197266,66914,538,966,1669,5013,744,201,322
100000337,동대문종합시장종로6가,127.0050242,37.57121641,1111016300,종로구,종로5가,15,76,8,1,693,1,0,3,10,162,78,18,0,5,61645,59815,538,966,1669,5013,744,201,322
100000338,동대문종합시장종로6가,127.0032061,37.57079206,1111016300,종로구,종로5가,15,75,8,0,697,1,0,1,10,171,73,19,0,6,61645,59815,538,966,1669,5013,744,201,322
100000398,동대문역.흥인지문,127.0134512,37.57230232,1111017400,종로구,창신동,25,59,6,1,464,2,0,4,9,81,60,3,0,7,491321,354064,8422,18544,4277,9613,13614,5190,2970
100000365,동대문(흥인지문),127.0120461,37.57195293,1111017400,종로구,창신동,22,76,6,2,531,1,0,4,14,112,69,6,0,7,545381,841237,8422,18544,4277,9613,13614,5190,2970
100000135,종로구민회관.창신동두산아파트,127.0155555,37.57409268,1111017400,종로구,창신동,33,26,10,1,434,2,0,2,10,69,54,2,0,8,68293,100850,8422,18544,4277,9613,13614,5190,2970
100000136,동대문,127.0141186,37.57270788,1111017400,종로구,창신동,25,55,6,1,473,2,0,4,9,77,62,2,0,7,61645,59815,8422,18544,4277,9613,13614,5190,2970
100000137,동대문,127.0136467,37.57229002,1111017400,종로구,창신동,25,60,6,1,470,3,0,4,9,80,60,3,0,7,61645,59815,8422,18544,4277,9613,13614,5190,2970
100000138,동대문,127.0149019,37.57267481,1111017400,종로구,창신동,27,52,8,1,497,3,0,3,9,74,64,1,0,6,61645,59815,8422,18544,4277,9613,13614,5190,2970
