,index,Unnamed: 0,NODE_ID,정류소명,X좌표,Y좌표,법정동코드,법정동_구,법정동,academy_cnt,kindergarten_cnt,mart_cnt,restaurant_cnt,school_cnt,university_cnt,subway_cnt,tour_cnt,cafe_cnt,hospital_cnt,culture_cnt,univ_hospital_cnt,public_office_cnt,employee_cnt,alone_ratio,emp_corp_ratio,population_15to64,RIDE_SUM_6_10,ALIGHT_SUM_6_10,Label,gmm_cluster,구-동
408,6186,6186,113000469,상암동주민센터앞,126.8939275,37.5784614,1144012700,마포구,상암동,20,15,2,586,1,0,2,1,169,46,10,0,3,49456,0.12541906933083,12.327018943170488,21507,3092,8095,0,8,마포구상암동
411,6196,6196,113000480,월드컵파크4단지,126.88981,37.57829993,1144012700,마포구,상암동,20,13,1,511,2,0,0,2,153,41,8,0,2,49456,0.12541906933083,12.327018943170488,21507,61645,59815,0,8,마포구상암동
412,6224,6224,113900001,MBC,126.8917373,37.57962812,1144012700,마포구,상암동,15,10,1,612,2,0,1,2,164,42,9,0,4,49456,0.12541906933083,12.327018943170488,21507,1455,226137,0,8,마포구상암동
413,6236,6236,113900013,YTN뉴스퀘어.CJE&M,126.8916612,37.57908555,1144012700,마포구,상암동,15,11,1,608,2,0,1,2,168,41,8,0,3,49456,0.12541906933083,12.327018943170488,21507,9028,614,0,8,마포구상암동
435,6421,6421,113900198,KBS미디어센터,126.8912678,37.5762495,1144012700,마포구,상암동,22,17,1,490,2,0,0,3,144,37,10,0,2,49456,0.12541906933083,12.327018943170488,21507,622,38903,0,8,마포구상암동
453,6949,6949,115000005,등촌중학교.백석초등학교,126.8615537,37.5526278,1150010200,강서구,등촌동,54,13,1,304,2,0,1,0,60,35,0,0,1,40715,0.1853280263519077,5.898160220194119,54807,189621,199179,0,1,강서구등촌동
454,6950,6950,115000006,등촌중학교.백석초등학교,126.8605244,37.55286538,1150010200,강서구,등촌동,54,14,1,249,3,0,0,0,61,30,0,0,1,40715,0.1853280263519077,5.898160220194119,54807,143965,173354,0,1,강서구등촌동
455,6951,6951,115000007,백석초등학교.한국임업진흥원,126.8616543,37.55270361,1150010200,강서구,등촌동,54,13,1,306,2,0,1,0,61,35,0,0,1,40715,0.1853280263519077,5.898160220194119,54807,44370,24839,0,1,강서구등촌동
456,6955,6955,115000013,등촌주공5단지아파트,126.8439052,37.55816464,1150010200,강서구,등촌동,168,12,3,278,4,0,0,2,62,42,6,0,1,40715,0.1853280263519077,5.898160220194119,54807,5585,17000,0,6,강서구등촌동
457,6957,6957,115000016,발산역5번출구,126.8394839,37.55821097,1150010600,강서구,내발산동,129,9,2,637,4,0,1,0,118,88,3,0,1,12968,0.0650421399780139,4.033592534992224,23383,3917,28168,0,7,강서구내발산동
