,NODE_ID,정류소명,X좌표,Y좌표,법정동코드,법정동_구,법정동,academy_cnt,kindergarten_cnt,mart_cnt,restaurant_cnt,school_cnt,university_cnt,subway_cnt,tour_cnt,cafe_cnt,hospital_cnt,culture_cnt,univ_hospital_cnt,public_office_cnt,employee_cnt,alone_ratio,emp_corp_ratio,population_15to64,RIDE_SUM_6_10,ALIGHT_SUM_6_10
1637,104000046,중곡동입구,127.088669,37.55419672,1121510100,광진구,중곡동,86,21,2,377,2,0,1,0,74,51,2,0,1,24295,0.17658448921737369,3.001977017175337,60196,62462,60829
1638,104000047,어린이대공원앞,127.0770315,37.55204586,1121510200,광진구,능동,27,8,0,180,3,0,1,3,63,8,11,0,3,6149,0.2949555434585375,5.202199661590525,8741,70233,66825
1639,104000048,능동사거리.군자역,127.0786347,37.55517668,1121510200,광진구,능동,73,10,1,451,0,0,2,2,91,48,9,0,3,6149,0.2949555434585375,5.202199661590525,8741,106374,61098
1640,104000049,구의사거리.광진소방서앞,127.0839777,37.54524958,1121510200,광진구,능동,45,8,2,148,4,0,0,4,53,17,0,0,4,6149,0.2949555434585375,5.202199661590525,8741,70494,31749
1641,104000050,어린이회관,127.0772313,37.54602822,1121510200,광진구,능동,15,4,0,220,3,0,1,2,68,2,8,0,0,6149,0.2949555434585375,5.202199661590525,8741,12777,65038
1642,104000051,구의사거리.광진소방서앞,127.0845805,37.54493286,1121510300,광진구,구의동,47,9,2,155,4,0,0,3,54,18,0,0,4,31339,0.15904384195779586,3.8368021547502447,56208,24360,70103
1643,104000052,광진경찰서,127.0836883,37.54153366,1121510300,광진구,구의동,63,9,1,376,6,0,0,1,77,31,0,0,4,31339,0.15904384195779586,3.8368021547502447,56208,305882,319442
1644,104000053,광진경찰서,127.0846474,37.54308737,1121510300,광진구,구의동,63,10,2,228,5,0,0,2,69,20,0,0,4,31339,0.15904384195779586,3.8368021547502447,56208,142997,44722
1645,104000054,광진경찰서,127.084359,37.54221081,1121510300,광진구,구의동,63,11,1,282,6,0,0,2,70,24,0,0,4,31339,0.15904384195779586,3.8368021547502447,56208,38760,15636
1646,104000055,광진구청,127.0835191,37.53898638,1121510300,광진구,구의동,69,10,1,456,3,0,1,0,80,55,2,0,3,31339,0.15904384195779586,3.8368021547502447,56208,208549,161033
1647,104000056,구의역2번출구,127.0879773,37.53770269,1121510300,광진구,구의동,63,11,1,433,1,0,1,0,77,54,0,0,1,31339,0.15904384195779586,3.8368021547502447,56208,71291,63853
1648,104000057,래미안구의파크스위트,127.0891035,37.5446547,1121510300,광진구,구의동,92,10,2,221,3,0,0,1,65,17,0,0,4,31339,0.15904384195779586,3.8368021547502447,56208,59451,32336
1649,104000058,구의2동주민센터입구,127.0897847,37.54925157,1121510300,광진구,구의동,48,10,2,234,4,0,1,0,57,26,2,0,3,31339,0.15904384195779586,3.8368021547502447,56208,148793,79850
1650,104000059,구의2동주민센터입구,127.0895859,37.54864168,1121510300,광진구,구의동,45,10,2,234,4,0,1,0,56,31,2,0,3,31339,0.15904384195779586,3.8368021547502447,56208,91356,110141
1651,104000060,구의사거리,127.085747,37.54565109,1121510300,광진구,구의동,52,8,2,202,4,0,0,3,61,18,0,0,4,31339,0.15904384195779586,3.8368021547502447,56208,123137,165406
1652,104000061,구의사거리,127.0863481,37.54581736,1121510300,광진구,구의동,53,7,2,202,6,0,0,3,59,18,0,0,5,31339,0.15904384195779586,3.8368021547502447,56208,109588,61420
