NODE_ID,RIDE_SUM_6_10,ALIGHT_SUM_6_10
101000254,2425,3616
101000258,5335,696
101000261,6484,7851
101000262,146395,584568
101000263,40107,117488
101000265,9698,65788
101000266,35833,28548
101000269,2409,4178
101000290,26607,270950
101000293,2242,4822
101000294,49291,49223
101000295,32111,18625
101000301,25259,69711
101000304,205921,445170
101000305,277260,164852
101000328,14004,100788
101000329,20658,57861
101000330,340,133
101000331,7655,3253
101900001,3196,7437
101900002,0,326
101900003,3804,13374
101900004,139,19637
101900005,79870,297741
101900006,167111,37533
101900007,43111,18023
101900008,1276,7966
101900009,5404,46045
101900010,47910,70557
101900011,5089,109978
101900012,39590,6001
101900013,32157,6420
101900017,1365,8978
101900018,92754,21671
101900019,13570,14770
101900020,2945,2773
101900021,87,2643
101900022,16015,82827
101900023,16929,15125
101900026,13899,2828
101900027,1804,8333
102000001,311292,647798
102000002,199827,266533
102000003,196916,578556
102000004,364916,298103
102000005,125083,321496
102000006,75723,129360
102000007,223892,464944
102000008,465260,136030
102000009,698391,777460
102000010,325102,195935
102000011,456158,420670
102000012,328803,232809
102000018,240337,280643
102000019,234409,160778
102000026,53950,37950
102000029,28984,27454
102000030,12204,35710
102000031,10183,11995
102000032,59573,35852
102000033,49109,27880
102000034,34938,33534
102000035,91243,43208
102000036,2490,22092
102000037,18568,4254
102000038,10596,34591
102000039,6454,14209
102000040,21392,28913
102000041,4454,57367
102000042,8111,39004
102000043,8539,46041
102000044,36717,114891
102000045,80581,79963
102000046,144359,73051
102000047,97969,66717
102000048,64078,61377
102000049,85354,101109
102000050,140644,102565
102000051,20767,62083
102000052,122505,112024
102000053,88502,127699
102000054,86111,81131
102000055,115615,21579
102000056,165168,33580
102000057,186001,42617
102000058,82618,65723
102000059,84789,119496
102000060,82070,89422
102000061,188624,128351
102000062,228794,102066
102000063,116258,137343
102000064,69127,71694
102000065,4403,13746
102000066,77047,68024
102000067,496109,380326
102000068,864884,324804
102000069,7618,213871
102000070,168951,4552
102000071,622082,1108175
102000072,217452,343059
102000073,38040,45916
102000074,79505,90771
102000075,16768,19594
102000076,40152,12739
102000077,67811,43183
102000078,143762,25972
102000079,14669,8304
102000080,35690,19434
102000081,22472,84619
102000082,58337,43701
102000083,96014,19329
102000084,69821,15193
102000085,217569,53086
102000086,134656,67642
102000087,69953,99762
102000088,45497,23997
102000089,160117,25222
102000090,29855,109578
102000091,113615,56935
102000092,23402,51230
102000093,119790,64593
102000094,41531,31215
102000095,64317,78190
102000096,28058,34021
102000097,56344,30379
102000098,27699,40899
102000099,66279,61176
102000100,15297,87054
102000101,23114,45784
102000102,30317,109713
102000103,328034,41322
102000104,63286,30886
